Connecting to host 10.0.0.6, port 5201
[  7] local 10.0.0.1 port 57460 connected to 10.0.0.6 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   5.70-5.80   sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  7]   5.80-5.90   sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[  7]   5.90-6.00   sec  56.6 KBytes  4.65 Mbits/sec    0   7.07 KBytes       
[  7]   6.00-6.10   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  7]   6.10-6.20   sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  7]   6.20-6.30   sec  0.00 Bytes  0.00 bits/sec    2   7.07 KBytes       
[  7]   6.30-6.40   sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[  7]   6.40-6.50   sec  55.1 KBytes  4.52 Mbits/sec    0   5.66 KBytes       
[  7]   6.50-6.60   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  7]   6.60-6.70   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  7]   6.70-6.80   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  7]   6.80-6.90   sec  0.00 Bytes  0.00 bits/sec    5   2.83 KBytes       
[  7]   6.90-7.00   sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  7]   7.00-7.10   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  7]   7.10-7.20   sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  7]   7.20-7.30   sec  56.6 KBytes  4.65 Mbits/sec    0   9.90 KBytes       
[  7]   7.30-7.40   sec  0.00 Bytes  0.00 bits/sec    4   2.83 KBytes       
[  7]   7.40-7.50   sec  0.00 Bytes  0.00 bits/sec    1   7.07 KBytes       
[  7]   7.50-7.60   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  7]   7.60-7.70   sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[  7]   7.70-7.80   sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[  7]   7.80-7.90   sec  53.7 KBytes  4.40 Mbits/sec    0   4.24 KBytes       
[  7]   7.90-8.00   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  7]   8.00-8.10   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  7]   8.10-8.20   sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  7]   8.20-8.30   sec  59.4 KBytes  4.86 Mbits/sec    0   9.90 KBytes       
[  7]   8.30-8.40   sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  7]   8.40-8.50   sec  0.00 Bytes  0.00 bits/sec    2   7.07 KBytes       
[  7]   8.50-8.60   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  7]   8.60-8.70   sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  7]   8.70-8.80   sec  56.6 KBytes  4.62 Mbits/sec    0   8.48 KBytes       
[  7]   8.80-8.90   sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  7]   8.90-9.00   sec  0.00 Bytes  0.00 bits/sec    0   11.3 KBytes       
